0,16
1,12
2,19
3,11
4,4
6,2
7,13
8,12
9,3
10,14
11,6
12,11
13,4
14,7
15,3
16,10
17,12
18,11
19,1
20,3
21,2
22,9
23,6
24,20
25,1
26,1
27,11
28,2
29,7
30,16
31,6
32,17
33,3
34,8
35,12
36,11
37,10
38,5
39,1
40,12
41,11
42,11
44,2
45,5
47,1
48,5
49,6
50,5
51,7
52,16
53,15
54,5
55,14
56,15
57,7
58,12
59,11
60,16
61,12
62,12
63,12
64,4
65,6
66,8
68,11
69,5
72,1
73,18
74,3
75,6
76,7
77,1
78,3
79,9
80,20
81,8
82,16
83,3
84,7
85,3
86,15
87,18
88,11
89,8
90,6
91,12
92,2
93,15
94,6
95,15
96,5
97,12
98,4
99,12
100,13
101,8
102,4
103,1
